Timestamp,Email Address,Score,Name,PRN,Roll Number,"Attended the Components(CCA,LCA)",cca_1_10_marks,cca_2_5_marks,cca_3_mid_term_15_marks,lca_1_practical_performance,lca_2_active_learning_project,lca_3_end_term_practical_oral,co1,co2,co3,co4,Panel,Overall Score,avg_cca,avg_lca,avg_co
03/24/2025 17:03:00,sai.verma@example.com,54.89,Sai Verma,1032233875,78,Present,7,4,11,8,10,9,0.4346573180510842,0.33079499478104324,0.17866280533910295,0.7653324309345441,J,9.6,7.333333333333333,9.0,0.42736188727644364
03/24/2025 17:03:00,arnav.patel@example.com,50.95,Arnav Patel,1032233289,30,Absent,7,4,10,8,8,7,0.786321806136077,0.5665640032301404,0.9573136131913729,0.31816327042265424,E,8.600000000000001,7.0,7.666666666666667,0.6570906732450612
03/24/2025 17:03:00,gauri.kumar@example.com,55.26,Gauri Kumar,1032233945,22,Present,7,4,13,9,7,8,0.2196190454793372,0.6774667689344619,0.7584086407997047,0.22490597055182238,K,9.7,8.0,8.0,0.47010010644133154
03/24/2025 17:03:00,diya.singh@example.com,75.38,Diya Singh,1032233345,26,Present,8,5,15,8,7,7,0.07661076426111324,0.810516486586372,0.9765019736460124,0.6446722860722843,K,10.25,9.333333333333334,7.333333333333333,0.6270753776414455
03/24/2025 17:03:00,tara.kumar@example.com,50.77,Tara Kumar,1032233836,97,Present,7,4,15,9,7,10,0.27786690014389415,0.996672608552792,0.8932666362670775,0.5133806462802939,J,10.7,8.666666666666666,8.666666666666666,0.6702966978110144
03/24/2025 17:03:00,soham.singh@example.com,84.3,Soham Singh,1032233525,96,Present,8,4,14,9,8,8,0.8253212848418338,0.8158205232629668,0.9347989696734995,0.8409238437734601,K,10.35,8.666666666666666,8.333333333333334,0.85421615538794
03/24/2025 17:03:00,aman.reddy@example.com,57.34,Aman Reddy,1032233201,25,Present,9,5,14,10,10,8,0.6436792359571645,0.6093037189565074,0.4673572883316117,0.6264856399707573,J,11.1,9.333333333333334,9.333333333333334,0.5867064708040103
03/24/2025 17:03:00,rohan.verma@example.com,50.56,Rohan Verma,1032233608,5,Present,8,4,14,7,9,10,0.7952165865303827,0.9690376263025533,0.4672873581821201,0.5736532029887571,K,10.6,8.666666666666666,8.666666666666666,0.7012986935009533
03/24/2025 17:03:00,tanish.reddy@example.com,86.01,Tanish Reddy,1032233447,16,Absent,9,3,10,7,10,9,0.44480549505878175,0.668488620983404,0.6299205040612595,0.0178337901936233,J,9.45,7.333333333333333,8.666666666666666,0.44026210257426723
03/24/2025 17:03:00,kunal.sharma@example.com,88.68,Kunal Sharma,1032233446,10,Present,10,3,15,7,9,10,0.5411615591006584,0.08848689569901402,0.026383618005538345,0.7911971620846983,J,11.2,9.333333333333334,8.666666666666666,0.36180730872247724
03/24/2025 17:03:00,aadhya.patel@example.com,57.02,Aadhya Patel,1032233569,77,Present,7,5,12,7,10,9,0.2586498621593005,0.34065507728729927,0.06408458760406621,0.17950026049435064,J,9.85,8.0,8.666666666666666,0.21072244688625416
03/24/2025 17:03:00,raj.reddy@example.com,72.85,Raj Reddy,1032233619,85,Absent,9,3,10,10,7,7,0.7656048182577924,0.4935308302326209,0.8806684625501484,0.3972421314668352,J,9.05,7.333333333333333,8.0,0.6342615606268491
03/24/2025 17:03:00,anika.reddy@example.com,85.42,Anika Reddy,1032233873,42,Present,10,4,13,9,7,10,0.2687007357542682,0.34759981445865096,0.7127717935169045,0.555005672334486,J,10.7,9.0,8.666666666666666,0.47101950401607745
03/24/2025 17:03:00,neha.sharma@example.com,83.07,Neha Sharma,1032233259,17,Absent,7,4,12,7,9,9,0.9041912075524279,0.6021687693888833,0.49301820848150313,0.7857527238867329,K,9.6,7.666666666666667,8.333333333333334,0.6962827273273868
03/24/2025 17:03:00,kunal.sharma@example.com,75.07,Kunal Sharma,1032233959,68,Present,8,3,10,9,7,8,0.9475338507334452,0.35584591124497056,0.24987621016547767,0.6162173962941392,K,8.9,7.0,8.0,0.5423683421095081
03/24/2025 17:03:00,sneha.kumar@example.com,74.08,Sneha Kumar,1032233717,97,Absent,10,3,14,7,10,7,0.498872821153881,0.9891855748647834,0.4623617841477333,0.07433155136034586,E,10.45,9.0,8.0,0.5061879328816858
